VacioS1,0,0,0,0.000170,76
VacioS1,7,0,1,0.000201,80
VacioS1,12,0,2,0.000110,84
VacioS1,27,0,3,0.000100,88
VacioS1,17,0,4,0.000090,92
VacioS1,19,0,5,0.000090,96
VacioS1,31,0,6,0.000160,100
VacioS1,64,0,7,0.000120,104
VacioS1,72,0,8,0.000100,108
VacioS1,56,0,9,0.000111,112
VacioS1,70,0,10,0.000170,116
VacioS1,103,0,11,0.000120,120
VacioS1,67,0,12,0.000120,124
VacioS1,95,0,13,0.000110,128
VacioS1,116,0,14,0.000170,132
VacioS2,0,0,0,0.000451,76
VacioS2,13,1,0,0.000471,128
VacioS2,18,2,0,0.000210,180
VacioS2,12,3,0,0.000180,232
VacioS2,16,4,0,0.000201,284
VacioS2,40,5,0,0.000220,336
VacioS2,45,6,0,0.000210,388
VacioS2,45,7,0,0.000260,440
VacioS2,70,8,0,0.000280,492
VacioS2,66,9,0,0.000260,544
VacioS2,76,10,0,0.000261,596
VacioS2,63,11,0,0.000281,648
VacioS2,102,12,0,0.000300,700
VacioS2,86,13,0,0.000310,752
VacioS2,116,14,0,0.000310,804
IgualLargo,5,1,1,0.000260,136
IgualLargo,14,2,2,0.000410,204
IgualLargo,18,3,3,0.000481,280
IgualLargo,29,4,4,0.000541,364
IgualLargo,27,5,5,0.000701,456
IgualLargo,25,6,6,0.000851,556
IgualLargo,49,7,7,0.001002,664
IgualLargo,40,8,8,0.001252,780
IgualLargo,63,9,9,0.001413,904
IgualLargo,58,10,10,0.001743,1036
IgualLargo,51,11,11,0.001954,1176
IgualLargo,63,12,12,0.004549,1324
IgualLargo,66,13,13,0.002665,1480
IgualLargo,75,14,14,0.004358,1644
IgualLargo,69,15,15,0.004688,1816
LetrasRepetidas,0,1,1,0.000290,136
LetrasRepetidas,0,2,2,0.000411,204
LetrasRepetidas,0,3,3,0.000481,280
LetrasRepetidas,0,4,4,0.000571,364
LetrasRepetidas,0,5,5,0.000691,456
LetrasRepetidas,0,6,6,0.000982,556
LetrasRepetidas,0,7,7,0.001132,664
LetrasRepetidas,0,8,8,0.001383,780
LetrasRepetidas,0,9,9,0.001624,904
LetrasRepetidas,0,10,10,0.002024,1036
LetrasRepetidas,0,11,11,0.002324,1176
LetrasRepetidas,0,12,12,0.004649,1324
LetrasRepetidas,0,13,13,0.003126,1480
LetrasRepetidas,0,14,14,0.003717,1644
LetrasRepetidas,0,15,15,0.004128,1816
Transposiciones,4,2,2,0.000421,204
Transposiciones,15,4,4,0.000641,364
Transposiciones,12,6,6,0.001042,556
Transposiciones,14,8,8,0.001393,780
Transposiciones,20,10,10,0.001873,1036
Transposiciones,28,12,12,0.002515,1324
Transposiciones,25,14,14,0.004979,1644
